Paper_Author,Year,Algorithm,Device_Platform,CPU_Type,CPU_Freq_MHz,RAM_KB,Flash_KB,Data_Size_Bytes,Key_Size_Bits,Exec_Time_ms,Throughput_Kbps,Memory_Used_Bytes,Energy_mJ,Notes,Algorithm_Clean,is_fpga,is_8bit,is_32bit,is_asic,is_desktop,log_cpu_freq,is_low_memory,key_data_ratio,freq_per_kb_ram
Dinu et al.,2015,SIMON,MSP430F1611,MSP430,8.0,0.352,0.72,128,96,5.97,171.54,360.0,,CBC_mode_64bit_block_Assembly,SIMON,0,0,0,0,0,2.1972245773362196,1,0.09375,22.6628895184136
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.047,0.32,16,96,0.24,533.33,48.0,,CTR_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,0.75,166.66666666666666
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,64,96,3.6,17.8,838.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.1875,0.2604166666666667
Dinu et al.,2015,SIMON,ATmega128,AVR,7.8,0.056,0.594,16,128,0.57,224.72,57.0,,CTR_mode_64bit_block_Assembly,SIMON,0,1,0,0,0,2.174751721484161,1,1.0,136.8421052631579
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,1.172,,96,144,15948.0,,11932.0,,SIMON 96/144,SIMON,0,1,0,0,0,2.833213344056216,0,0.1875,13.640238704177325
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.596,0.108,64,128,1.84,278.26,596.0,,118 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.25,26.80067001675042
Dinu et al.,2015,AES-128,Cortex-M3,ARM,84.0,0.441,2.98,128,128,0.88,1163.64,452.0,,CBC_mode_with_key_schedule,AES-128,0,0,1,0,0,4.442651256490317,1,0.125,190.0452488687783
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,48,96,3.2,15.0,739.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Beaulieu et al.,2013,AES,ATmega128,ATmega128,16.0,0.943,0.033,128,128,2.23,458.74,943.0,,Reference,AES-128,0,1,0,0,0,2.833213344056216,1,0.125,16.949152542372882
Dinu et al.,2015,SPECK,Cortex-M3,ARM,84.0,0.055,0.25,16,96,0.01,12800.0,56.0,,CTR_mode_64bit_block,SPECK,0,0,1,0,0,4.442651256490317,1,0.75,1500.0
Beaulieu et al.,2013,SPECK,ATmega128,ATmega128,16.0,0.424,0.044,32,64,1.51,169.54,424.0,,110 cycles/byte,SPECK,0,1,0,0,0,2.833213344056216,1,0.25,37.64705882352941
Bogdanov et al.,2007,PRESENT,ASIC,ASIC,0.1,0.383,,64,80,0.32,200.0,1570.0,0.0016,0.18µm process 1570 GE,PRESENT,0,0,0,1,0,0.09531017980432487,1,0.15625,0.2604166666666667
Dinu et al.,2015,SPECK,Cortex-M3,ARM,84.0,0.301,0.434,128,128,0.2,5120.98,308.0,,CBC_mode_64bit_block,SPECK,0,0,1,0,0,4.442651256490317,1,0.125,278.1456953642384
Beaulieu et al.,2013,SPECK,ASIC,ASIC,0.1,0.383,,48,96,4.0,12.0,794.0,,,SPECK,0,0,0,1,0,0.09531017980432487,1,0.25,0.2604166666666667
Diehl et al.,2017,PRESENT,8-bit processor,Custom 8-bit,285.0,0.383,,8,80,20030.0,911.0,377.0,,SW area in LUTs,PRESENT,0,1,0,0,0,5.655991810819852,1,1.25,742.1875
Diehl et al.,2017,SIMON,Kintex-7 FPGA,FPGA,564.0,0.383,,96,96,,1041000.0,435.0,0.000142,SIMON 96/96 hardware,SIMON,1,0,0,0,0,6.336825731146441,1,0.125,1468.75
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.442,0.108,48,96,2.61,147.13,442.0,,187 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,36.11738148984199
Dinu et al.,2015,AES-128,MSP430F1611,MSP430,8.0,0.078,1.14,16,128,0.56,228.57,80.0,,CTR_mode_precomputed_keys_Assembly,AES-128,0,0,0,0,0,2.1972245773362196,1,1.0,101.26582278481013
Dinu et al.,2015,SPECK,ATmega128,AVR,7.8,0.295,0.854,128,128,5.76,177.78,302.0,,CBC_mode_64bit_block_Assembly,SPECK,0,1,0,0,0,2.174751721484161,1,0.125,26.35135135135135
Beaulieu et al.,2013,SIMON,ATmega128,ATmega128,16.0,0.53,0.168,64,96,3.19,160.5,530.0,,205 cycles/byte,SIMON,0,1,0,0,0,2.833213344056216,1,0.1875,30.131826741996232
Dinu et al.,2015,PRESENT,ATmega128,AVR,7.8,0.438,2.11,128,80,31.44,32.57,448.0,,CBC_mode_Assembly_impl,PRESENT,0,1,0,0,0,2.174751721484161,1,0.078125,17.767653758542142
Dinu et al.,2015,PRESENT,ATmega128,AVR,7.8,0.055,1.26,16,80,2.16,59.26,56.0,,CTR_mode_precomputed_keys_Assembly,PRESENT,0,1,0,0,0,2.174751721484161,1,0.625,139.28571428571428
Nithya & Kumar,2016,AES-128,ATmega328P,ATmega328P,16.0,3.296,,128,128,19824.0,259.0,14324.0,,AES baseline,AES-128,0,1,0,0,0,2.833213344056216,0,0.125,4.852896572641796
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.788,,48,96,10598.0,,8098.0,,SIMON 48/96,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,20.278833967046893
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.289,0.559,128,128,4.04,253.47,296.0,,CBC_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,0.125,27.586206896551726
Dinu et al.,2015,SPECK,ATmega128,AVR,7.8,0.052,0.494,16,96,0.34,377.36,53.0,,CTR_mode_64bit_block_Assembly,SPECK,0,1,0,0,0,2.174751721484161,1,0.75,147.16981132075472
Diehl et al.,2017,SPECK,Kintex-7 FPGA,FPGA,473.0,0.383,,96,96,,1622000.0,452.0,8e-05,SPECK 96/96 - highest throughput,SPECK,1,0,0,0,0,6.161207321695077,1,0.125,1231.7708333333333
Diehl et al.,2017,SPECK,8-bit processor,Custom 8-bit,325.0,0.277,,96,96,29.046,1075.0,277.0,0.0949,Software - 2421 cycles/byte,SPECK,0,1,0,0,0,5.786897381366708,1,0.125,1169.0647482014388
Beaulieu et al.,2013,SIMON,ASIC,ASIC,0.1,0.383,,96,96,6.49,14.8,984.0,,,SIMON,0,0,0,1,0,0.09531017980432487,1,0.125,0.2604166666666667
Dinu et al.,2015,SIMON,MSP430F1611,MSP430,8.0,0.055,0.449,16,96,0.36,356.25,56.0,,CTR_mode_64bit_block_Assembly,SIMON,0,0,0,0,0,2.1972245773362196,1,0.75,142.85714285714286
Dinu et al.,2015,SPECK,MSP430F1611,MSP430,8.0,0.047,0.324,16,128,0.25,512.0,48.0,,CTR_mode_64bit_block_Assembly,SPECK,0,0,0,0,0,2.1972245773362196,1,1.0,166.66666666666666
Nithya & Kumar,2016,SIMON,ATmega328P,ATmega328P,16.0,0.636,,32,64,8832.0,102.0,6332.0,,SIMON 32/64 - 648 blocks,SIMON,0,1,0,0,0,2.833213344056216,1,0.25,25.11773940345369
Diehl et al.,2017,AES-128,Kintex-7 FPGA,FPGA,287.0,0.383,,128,128,,119000.0,318.0,0.000914,Hardware implementation,AES-128,1,0,0,0,0,5.662960480135946,1,0.125,747.3958333333334
Dinu et al.,2015,PRESENT,MSP430F1611,MSP430,8.0,0.438,1.78,128,80,25.26,40.52,448.0,,CBC_mode_Assembly_impl,PRESENT,0,0,0,0,0,2.1972245773362196,1,0.078125,18.223234624145785
